,Value,Num DF,Den DF,F Value,Pr > F
Wilks' lambda,0.8380574224064042,60,60490.816110937536,46.67763159480875,0.0
Pillai's trace,0.16647005520416194,60.0,61996.0,44.869340142791295,0.0
Hotelling-Lawley trace,0.18787738146950222,60,48022.69214239952,48.518223112175164,0.0
Roy's greatest root,0.15549830025489383,15,15499,160.67121037670663,0.0
