model,class,precision,recall,f1-score,support
Random Forest,Non-germinated,0.82895253040408,0.7236301369863014,0.7727189614189066,2920.0
Random Forest,Germinated,0.6166270783847981,0.748558246828143,0.6762177650429799,1734.0
Random Forest,macro avg,0.7227898043944391,0.7360941919072221,0.7244683632309432,4654.0
Random Forest,weighted avg,0.7498437350019669,0.7329179200687581,0.7367642827519842,4654.0
Linear SVM,Non-germinated,0.7962900505902192,0.8085616438356165,0.8023789294817332,2920.0
Linear SVM,Germinated,0.6690349319123742,0.6516724336793541,0.6602395559450774,1734.0
Linear SVM,macro avg,0.7326624912512967,0.7301170387574853,0.7313092427134054,4654.0
Linear SVM,weighted avg,0.7488769917618171,0.7501074344649764,0.749420254425317,4654.0
